TRAVEL_ID,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,SLEEP,ACTIVITY,RESULT_MVMN,Cluster
e_e002064,20,1,2인 여행(가족 외),0,쇼핑 / 구매,지하철,5
e_e007816,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e002084,20,1,2인 여행(가족 외),0,휴식,자가용,5
e_e005157,60,2,자녀 동반 여행,0,없음,기차,7
e_e002570,50,3,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,3
e_e010492,20,3,부모 동반 여행,0,단순 구경 / 산책 / 걷기,자가용,1
e_e006272,30,1,2인 여행(가족 외),0,없음,자가용,0
e_e004326,20,2,3인 이상 가족 여행(친척 포함),1,단순 구경 / 산책 / 걷기,자가용,1
e_e004658,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e007796,40,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e007155,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,5
e_e002527,30,0,나홀로 여행,0,쇼핑 / 구매,자가용,0
e_e005472,20,1,2인 가족 여행,0,쇼핑 / 구매,기차,5
e_e002991,40,3,3인 이상 가족 여행(친척 포함),1,단순 구경 / 산책 / 걷기,자가용,3
e_e004393,20,1,2인 여행(가족 외),1,체험 활동 / 입장 및 관람,자가용,8
e_e003006,30,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,버스,0
e_e004860,20,1,2인 가족 여행,2,쇼핑 / 구매,버스,9
e_e000693,40,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e004380,30,3,자녀 동반 여행,0,없음,자가용,6
e_e010724,20,1,2인 여행(가족 외),0,쇼핑 / 구매,자가용,5
e_e000018,40,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e011151,30,1,2인 가족 여행,0,쇼핑 / 구매,자가용,0
e_e001351,30,1,2인 여행(가족 외),1,없음,자가용,0
e_e011588,40,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e001458,60,1,자녀 동반 여행,0,휴식,지하철,7
e_e007800,30,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e003885,20,1,2인 여행(가족 외),1,쇼핑 / 구매,택시,8
e_e005483,30,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e005781,20,4,부모 동반 여행,2,체험 활동 / 입장 및 관람,자가용,1
e_e005110,30,3,3인 이상 여행(가족 외),1,쇼핑 / 구매,자가용,1
e_e013030,40,3,자녀 동반 여행,0,없음,자가용,6
e_e003867,20,1,2인 여행(가족 외),1,쇼핑 / 구매,자가용,8
e_e003126,20,2,3인 이상 여행(가족 외),1,휴식,자가용,1
e_e008174,40,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e009771,20,1,2인 여행(가족 외),0,없음,지하철,5
e_e004821,20,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,8
e_e007509,30,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e010055,30,4,3인 이상 여행(가족 외),0,쇼핑 / 구매,렌터카,6
e_e003433,30,2,3인 이상 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,6
e_e005711,60,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,7
e_e003237,30,1,2인 가족 여행,1,휴식,자가용,0
e_e000942,30,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,0
e_e006098,30,2,3인 이상 여행(가족 외),0,단순 구경 / 산책 / 걷기,기차,0
e_e005102,30,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e005351,20,4,3인 이상 여행(가족 외),1,휴식,자가용,1
e_e004800,20,1,2인 여행(가족 외),2,쇼핑 / 구매,기차,9
e_e003241,30,1,2인 가족 여행,1,단순 구경 / 산책 / 걷기,자가용,0
e_e004245,30,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,지하철,0
e_e004864,20,1,2인 가족 여행,1,단순 구경 / 산책 / 걷기,자가용,8
e_e007660,20,0,나홀로 여행,0,쇼핑 / 구매,자가용,5
e_e006544,20,1,2인 여행(가족 외),0,쇼핑 / 구매,버스,5
e_e000037,30,0,나홀로 여행,2,단순 구경 / 산책 / 걷기,자가용,9
e_e005175,30,2,부모 동반 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e001140,40,0,나홀로 여행,0,체험 활동 / 입장 및 관람,자가용,0
e_e005335,20,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,5
e_e002176,40,0,나홀로 여행,1,단순 구경 / 산책 / 걷기,자가용,0
e_e006407,20,1,2인 여행(가족 외),0,쇼핑 / 구매,버스,5
e_e007783,30,1,2인 여행(가족 외),0,없음,자가용,0
e_e008809,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,5
e_e001382,30,1,2인 여행(가족 외),1,없음,자가용,0
e_e009772,30,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,0
e_e003062,30,1,2인 여행(가족 외),1,체험 활동 / 입장 및 관람,자가용,0
e_e005886,30,3,3인 이상 여행(가족 외),1,쇼핑 / 구매,버스,1
e_e006452,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e003419,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e002760,30,1,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,0
e_e001132,20,1,2인 여행(가족 외),2,단순 구경 / 산책 / 걷기,자가용,8
e_e010678,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e002931,50,3,3인 이상 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,7
e_e000025,40,2,자녀 동반 여행,0,단순 구경 / 산책 / 걷기,자가용,6
e_e007937,20,0,나홀로 여행,0,체험 활동 / 입장 및 관람,자가용,5
e_e001471,30,0,나홀로 여행,0,쇼핑 / 구매,자가용,0
e_e000360,30,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e000818,30,1,2인 여행(가족 외),1,휴식,자가용,0
e_e011396,20,0,나홀로 여행,0,쇼핑 / 구매,자가용,5
e_e004310,40,2,3인 이상 여행(가족 외),0,쇼핑 / 구매,자가용,6
e_e007770,20,0,나홀로 여행,0,쇼핑 / 구매,버스,5
e_e011643,30,1,2인 여행(가족 외),0,없음,자가용,0
