TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
f001443,30,여,50,6,1.0,2,3,11,,8,11.0,2,2,50,50130,42,42800,48,48840,4,1,1,1,4,4,5,7,대전광역시,경남,2인 가족 여행,2023-05-26~2023-05-28,2,5.0,1.0,1
f015755,48,남,30,5,1.0,1,3,2,,4,8.0,2,3,42,42150,26,26710,50,50110,4,2,2,3,4,4,2,6,경상남도,경남,2인 여행(가족 외),2023-09-04~2023-09-04,3,1.0,6.0,1
f016009,41,남,40,6,1.0,2,2,13,,1,3.0,3,2,42,42150,47,47110,50,50110,7,7,7,4,4,6,6,2,경기도,강원,2인 가족 여행,2023-09-10~2023-09-10,1,3.0,7.0,1
f015431,41,여,60,4,1.0,3,2,11,,2,7.0,2,1,47,47130,42,42150,50,50110,1,1,1,1,1,1,3,6,경기도,경북,자녀 동반 여행,2023-09-02~2023-09-02,2,8.0,7.0,2
f001189,41,남,50,6,1.0,2,3,3,,9,11.0,2,15,42,42210,42,42230,44,44180,2,1,3,2,2,3,2,6,경기도,강원,자녀 동반 여행,2023-06-06~2023-06-11,2,3.0,1.0,2
f015561,11,여,20,7,2.0,1,4,12,,3,6.0,2,1,42,42130,26,26350,26,26380,4,2,1,1,6,5,2,6,서울특별시,강원,나홀로 여행,2023-09-07~2023-09-07,1,7.0,,0
f011686,11,남,30,6,1.0,1,1,4,,5,,2,1,42,42820,42,42170,28,28260,1,4,1,1,7,1,7,7,서울특별시,강원,2인 여행(가족 외),2023-08-26~2023-08-26,1,4.0,3.0,1
f000357,11,여,20,4,1.0,1,5,12,,2,5.0,3,1,50,50130,26,26350,43,43730,3,1,2,1,5,2,3,7,서울특별시,강원,나홀로 여행,2023-05-25~2023-05-26,4,1.0,2.0,0
f001564,11,여,30,6,1.0,1,1,4,,4,,2,2,42,42150,46,46110,50,50130,4,2,3,1,3,2,2,5,서울특별시,강원,2인 여행(가족 외),2023-05-27~2023-05-27,6,7.0,1.0,1
f003354,27,여,30,4,1.0,1,4,12,,1,1.0,2,1,50,50110,47,47110,26,26110,1,1,7,1,1,5,1,6,대구광역시,경남,2인 여행(가족 외),2023-06-21~2023-06-21,1,5.0,3.0,1
f006368,48,남,30,6,1.0,1,1,3,,6,,2,2,26,26710,48,48840,48,48740,6,3,3,3,6,4,2,6,경상남도,부산,3인 이상 여행(가족 외),2023-08-12~2023-08-12,3,5.0,1.0,1
f011464,27,남,20,4,1.0,1,4,12,,2,7.0,2,1,26,26350,27,27110,26,26110,6,3,2,3,2,6,6,3,대구광역시,부산,2인 여행(가족 외),2023-08-24~2023-08-24,1,2.0,3.0,1
f014076,27,남,30,6,1.0,1,3,12,,2,5.0,3,4,50,50110,50,50130,11,11680,1,2,4,4,6,7,6,6,대구광역시,경북,2인 가족 여행,2023-09-15~2023-09-15,3,1.0,9.0,1
f014710,11,여,50,6,1.0,2,4,3,,6,11.0,3,4,42,42230,45,45110,50,50130,2,1,1,4,5,4,3,4,서울특별시,강원,3인 이상 여행(가족 외),2023-09-15~2023-09-16,1,3.0,2.0,3
